Date,Close/Last,Volume,Open,High,Low
10/31/2025,$200.47,52697640,$199.20,$204.18,$197.92
10/30/2025,$194.55,43541720,$198.425,$199.67,$194.1201
10/29/2025,$198.81,65537260,$191.08,$199.85,$190.49
10/28/2025,$189.60,38201010,$189.48,$191.78,$186.78
10/27/2025,$189.18,47153060,$188.97,$192.83,$187.52
10/24/2025,$184.63,34813460,$182.88,$186.17,$182.85
10/23/2025,$180.48,35812300,$175.445,$181.56,$175.01
10/22/2025,$175.49,58263100,$181.93,$182.21,$169.42
10/21/2025,$181.51,27528150,$182.06,$182.3891,$178.6501
10/20/2025,$181.59,31975850,$179.49,$183.09,$177.44
10/17/2025,$178.15,43421490,$177.75,$181.59,$173.95
10/16/2025,$178.12,42870890,$181.78,$184.82,$176.45
10/15/2025,$179.62,37372130,$181.655,$184.35,$176.02
10/14/2025,$179.74,49261450,$176.00,$182.34,$170.82
10/13/2025,$177.21,41332440,$178.68,$179.22,$173.45
10/10/2025,$175.44,55194030,$185.17,$187.10,$173.53
10/09/2025,$185.47,45050250,$183.58,$187.62,$179.95
10/08/2025,$183.56,36299660,$182.80,$184.26,$181.20
10/07/2025,$182.17,58179260,$180.31,$186.18,$179.4201
10/06/2025,$179.53,52504240,$179.18,$182.95,$177.83
10/03/2025,$173.07,105533400,$186.40,$186.84,$170.77
